angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.38,,"[1974, 852, 193, 251]",,0.01,,0.2,,0.0,,0.09,,0.31,,0.01,
0.45,,"[1975, 848, 194, 254]",,0.01,,0.08,,0.0,,0.12,,0.32,,0.01,
0.38,,"[1976, 851, 193, 251]",,0.01,,0.15,,0.0,,0.11,,0.34,,0.01,
0.29,,"[1979, 851, 185, 241]",,0.0,,0.11,,0.01,,0.25,,0.33,,0.02,
0.31,,"[1979, 851, 186, 239]",,0.0,,0.1,,0.0,,0.15,,0.42,,0.01,
0.35,,"[1980, 851, 185, 239]",,0.0,,0.12,,0.0,,0.21,,0.3,,0.01,
0.24,,"[1981, 853, 185, 241]",,0.0,,0.39,,0.01,,0.07,,0.23,,0.07,
0.22,,"[1976, 859, 192, 238]",,0.0,,0.35,,0.0,,0.07,,0.34,,0.02,
0.25,,"[1976, 859, 192, 238]",,0.0,,0.31,,0.0,,0.08,,0.34,,0.01,
0.4,,"[1980, 859, 183, 231]",,0.0,,0.2,,0.01,,0.12,,0.28,,0.0,
0.35,,"[1983, 859, 182, 231]",,0.01,,0.07,,0.03,,0.11,,0.43,,0.0,
0.19,,"[1981, 859, 182, 233]",,0.02,,0.04,,0.01,,0.05,,0.7,,0.0,
0.31,,"[1980, 860, 185, 238]",,0.08,,0.04,,0.0,,0.01,,0.55,,0.0,
0.29,,"[1979, 858, 187, 241]",,0.07,,0.03,,0.0,,0.02,,0.59,,0.0,
0.19,,"[1979, 859, 186, 240]",,0.1,,0.04,,0.0,,0.03,,0.65,,0.0,
0.17,,"[1979, 858, 186, 241]",,0.05,,0.04,,0.0,,0.03,,0.71,,0.0,
0.17,,"[1975, 857, 194, 249]",,0.02,,0.03,,0.0,,0.02,,0.76,,0.0,
0.14,,"[1978, 858, 188, 240]",,0.06,,0.04,,0.01,,0.02,,0.73,,0.0,
0.1,,"[1976, 857, 192, 248]",,0.04,,0.03,,0.0,,0.02,,0.81,,0.0,
0.07,,"[1977, 857, 191, 247]",,0.0,,0.04,,0.0,,0.01,,0.87,,0.0,
0.11,,"[1979, 856, 191, 249]",,0.01,,0.03,,0.0,,0.01,,0.84,,0.0,
0.1,,"[1980, 858, 188, 240]",,0.01,,0.07,,0.09,,0.07,,0.67,,0.0,
0.2,,"[1979, 855, 194, 249]",,0.0,,0.06,,0.0,,0.04,,0.7,,0.0,
0.27,,"[1985, 863, 183, 229]",,0.06,,0.06,,0.03,,0.12,,0.46,,0.0,
0.21,,"[1984, 861, 185, 232]",,0.01,,0.05,,0.01,,0.04,,0.68,,0.0,
0.2,,"[1986, 862, 180, 230]",,0.01,,0.05,,0.01,,0.07,,0.66,,0.0,
0.26,,"[1985, 861, 185, 230]",,0.02,,0.06,,0.01,,0.04,,0.61,,0.0,
0.24,,"[1987, 861, 180, 233]",,0.01,,0.08,,0.01,,0.16,,0.5,,0.0,
0.24,,"[1987, 861, 180, 233]",,0.01,,0.08,,0.01,,0.16,,0.5,,0.0,
0.32,,"[1986, 859, 182, 233]",,0.01,,0.05,,0.01,,0.06,,0.56,,0.0,
0.29,,"[1987, 859, 181, 233]",,0.01,,0.05,,0.01,,0.06,,0.58,,0.0,
0.22,,"[1985, 858, 183, 232]",,0.0,,0.07,,0.01,,0.17,,0.52,,0.0,
0.13,,"[1985, 856, 183, 233]",,0.0,,0.07,,0.02,,0.32,,0.46,,0.0,
0.23,,"[1985, 857, 182, 233]",,0.01,,0.08,,0.04,,0.25,,0.39,,0.0,
0.22,,"[1982, 854, 190, 244]",,0.02,,0.04,,0.01,,0.09,,0.62,,0.0,
0.26,,"[1984, 863, 183, 226]",,0.02,,0.03,,0.0,,0.03,,0.67,,0.0,
0.18,,"[1985, 862, 183, 229]",,0.01,,0.04,,0.0,,0.06,,0.71,,0.0,
0.12,,"[1985, 856, 185, 236]",,0.0,,0.05,,0.0,,0.27,,0.56,,0.0,
0.14,,"[1985, 855, 185, 237]",,0.0,,0.04,,0.0,,0.31,,0.5,,0.0,
0.17,,"[1986, 854, 186, 238]",,0.0,,0.03,,0.0,,0.27,,0.52,,0.0,
0.15,,"[1986, 855, 186, 238]",,0.0,,0.04,,0.0,,0.26,,0.55,,0.0,
0.13,,"[1986, 855, 188, 240]",,0.0,,0.04,,0.0,,0.08,,0.75,,0.0,
0.17,,"[1986, 856, 188, 242]",,0.0,,0.08,,0.0,,0.02,,0.72,,0.0,
0.2,,"[1989, 862, 180, 232]",,0.02,,0.05,,0.0,,0.07,,0.66,,0.0,
0.31,,"[1990, 862, 180, 231]",,0.02,,0.07,,0.0,,0.09,,0.51,,0.0,
0.35,,"[1989, 861, 181, 230]",,0.01,,0.08,,0.01,,0.12,,0.44,,0.0,
0.36,,"[1989, 861, 181, 230]",,0.09,,0.07,,0.01,,0.12,,0.35,,0.0,
0.37,,"[1986, 857, 188, 238]",,0.04,,0.08,,0.0,,0.03,,0.48,,0.0,
0.21,,"[1987, 858, 188, 237]",,0.03,,0.08,,0.0,,0.05,,0.64,,0.0,
0.26,,"[1990, 861, 181, 231]",,0.12,,0.07,,0.0,,0.05,,0.48,,0.0,
0.13,,"[1991, 861, 181, 229]",,0.02,,0.07,,0.01,,0.1,,0.68,,0.0,
